station;termin;nat_abbr;dkl010h0;fkl010h0;fkl010h1;fu3010h0;fu3010h1;fve010h0;gre000h0;oli000h0;pp0qffh0;pp0qnhh0;ppz700h0;ppz850h0;prestah0;pva200h0;rre150h0;sre000h0;tde200h0;tre005h0;tre005hn;tre200h0;tre200hn;tre200hx;ure200h0;wcc006h0
75;20230705170000;BAS;282;3.6;8.1;13.0;29.2;;386;322;1016.3;1017.7;;;980.0;10.8;0.0;55;8.1;24.5;23.1;22.3;22.0;22.6;40.0;
75;20230705180000;BAS;281;2.9;7.3;10.4;26.3;;246;316;1016.5;1017.8;;;980.1;10.4;0.0;60;7.6;22.5;21.0;21.7;21.2;22.0;40.2;
75;20230705190000;BAS;267;2.1;6.0;7.6;21.6;;67;312;1016.9;1018.0;;;980.3;10.4;0.0;27;7.5;17.2;15.3;20.3;19.6;20.9;43.4;
75;20230705200000;BAS;223;1.8;3.4;6.5;12.2;;4;311;1017.5;1018.3;;;980.6;11.4;0.0;0;8.9;12.3;10.9;17.4;16.1;19.3;57.7;
75;20230705210000;BAS;209;2.5;3.7;9.0;13.3;;0;320;1018.2;1018.7;;;981.0;11.9;0.0;0;9.6;11.6;10.7;15.8;15.6;16.3;66.4;
75;20230705220000;BAS;187;1.2;3.2;4.3;11.5;;0;330;1018.4;1018.9;;;981.2;11.9;0.0;0;9.6;12.0;10.5;15.8;15.4;16.3;66.7;
75;20230705230000;BAS;141;0.7;1.5;2.5;5.4;;0;312;1018.8;1019.2;;;981.4;11.8;0.0;0;9.4;9.6;9.0;15.1;14.7;16.0;69.0;
75;20230706000000;BAS;135;0.6;1.4;2.2;5.0;;0;331;1018.9;1019.3;;;981.5;12.0;0.0;0;9.7;10.5;9.6;15.1;14.6;16.0;70.4;
75;20230706010000;BAS;127;0.7;1.8;2.5;6.5;;0;325;1019.1;1019.4;;;981.6;12.5;0.0;0;10.3;9.9;8.7;14.0;13.7;14.3;78.6;
75;20230706020000;BAS;180;0.6;2.1;2.2;7.6;;0;358;1018.8;1019.1;;;981.3;12.8;0.0;0;10.7;12.2;11.5;14.3;14.0;14.5;79.1;
75;20230706030000;BAS;90;1.0;3.5;3.6;12.6;;0;353;1018.5;1018.8;;;981.1;12.7;0.0;0;10.4;12.3;11.9;14.6;14.3;14.8;76.2;
75;20230706040000;BAS;90;0.7;2.2;2.5;7.9;;3;347;1018.4;1018.7;;;981.0;12.8;0.0;0;10.7;12.2;11.7;14.3;14.0;14.4;78.7;
75;20230706050000;BAS;98;0.8;2.5;2.9;9.0;;36;353;1018.6;1018.9;;;981.2;12.7;0.0;0;10.5;13.2;12.4;14.7;14.5;14.9;76.2;
75;20230706060000;BAS;104;0.6;2.2;2.2;7.9;;133;351;1018.8;1019.3;;;981.5;12.8;0.0;10;10.7;15.8;14.6;15.4;15.0;16.0;73.3;
75;20230706070000;BAS;34;0.7;1.7;2.5;6.1;;353;312;1018.7;1019.4;;;981.6;12.6;0.0;55;10.4;21.1;17.9;17.0;16.0;17.8;65.4;
75;20230706080000;BAS;72;0.8;2.1;2.9;7.6;;553;315;1018.5;1019.4;;;981.6;12.9;0.0;60;10.7;25.3;23.2;18.7;17.9;19.5;59.8;
75;20230706090000;BAS;315;0.9;3.1;3.2;11.2;;707;320;1018.4;1019.5;;;981.7;12.6;0.0;60;10.4;27.6;26.8;20.1;19.2;21.0;53.7;
75;20230706100000;BAS;304;1.3;3.8;4.7;13.7;;827;325;1018.0;1019.4;;;981.6;12.6;0.0;60;10.4;29.6;29.1;21.5;21.1;22.4;49.1;
75;20230706110000;BAS;315;1.7;4.9;6.1;17.6;;887;330;1017.8;1019.3;;;981.5;12.7;0.0;59;10.4;30.5;29.2;22.7;22.0;23.5;46.0;
75;20230706120000;BAS;312;1.8;4.4;6.5;15.8;;781;343;1017.6;1019.1;;;981.3;12.9;0.0;42;10.7;30.5;26.3;23.4;22.5;24.2;44.9;
75;20230706130000;BAS;298;2.1;5.4;7.6;19.4;;826;343;1017.3;1018.8;;;981.1;12.2;0.0;48;9.9;30.4;27.4;23.7;23.4;24.3;41.7;
75;20230706140000;BAS;275;1.5;5.0;5.4;18.0;;785;346;1016.7;1018.4;;;980.7;12.6;0.0;52;10.4;30.8;26.9;24.3;23.4;24.9;41.5;
75;20230706150000;BAS;307;1.4;4.2;5.0;15.1;;670;344;1016.4;1018.1;;;980.4;12.7;0.0;60;10.5;30.6;29.4;24.8;24.2;25.3;40.8;
75;20230706160000;BAS;275;1.6;3.7;5.8;13.3;;571;343;1016.0;1017.8;;;980.1;12.7;0.0;60;10.5;30.2;29.8;25.0;24.7;25.3;40.0;
