station;termin;nat_abbr;rre250c0
133;19210101000000;MGR;3160
133;19220101000000;MGR;3090
133;19230101000000;MGR;4110
133;19240101000000;MGR;3350
133;19250101000000;MGR;3260
133;19260101000000;MGR;3900
133;19270101000000;MGR;5890
133;19280101000000;MGR;4140
133;19290101000000;MGR;3430
133;19300101000000;MGR;3790
133;19310101000000;MGR;3770
133;19320101000000;MGR;3390
133;19330101000000;MGR;3380
133;19340101000000;MGR;3210
133;19350101000000;MGR;4240
133;19360101000000;MGR;5260
133;19370101000000;MGR;4000
133;19380101000000;MGR;4760
133;19390101000000;MGR;4320
133;19400101000000;MGR;5910
133;19410101000000;MGR;4650
133;19420101000000;MGR;4150
133;19430101000000;MGR;3350
133;19440101000000;MGR;3560
133;19450101000000;MGR;4720
133;19460101000000;MGR;3790
133;19470101000000;MGR;3170
133;19480101000000;MGR;4520
133;19490101000000;MGR;2760
133;19500101000000;MGR;2900
133;19510101000000;MGR;3730
133;19520101000000;MGR;3230
133;19530101000000;MGR;3770
133;19540101000000;MGR;3160
133;19550101000000;MGR;3550
133;19560101000000;MGR;3070
133;19570101000000;MGR;2950
133;19580101000000;MGR;3540
133;19590101000000;MGR;2780
133;19600101000000;MGR;2720
133;19610101000000;MGR;3320
133;19620101000000;MGR;3270
133;19630101000000;MGR;2460
133;19640101000000;MGR;1930
133;19650101000000;MGR;3890
133;19660101000000;MGR;4060
133;19670101000000;MGR;3530
133;19680101000000;MGR;3220
133;19690101000000;MGR;2960
133;19700101000000;MGR;3880
133;19710101000000;MGR;2210
133;19720101000000;MGR;1940
133;19730101000000;MGR;2740
133;19740101000000;MGR;3060
133;19750101000000;MGR;3890
133;19760101000000;MGR;1950
133;19770101000000;MGR;3110
133;19780101000000;MGR;4000
133;19790101000000;MGR;2270
133;19800101000000;MGR;4080
133;19810101000000;MGR;3440
133;19820101000000;MGR;3080
133;19830101000000;MGR;3040
133;19840101000000;MGR;3290
133;19850101000000;MGR;2870
133;19860101000000;MGR;2900
133;19870101000000;MGR;3110
133;19880101000000;MGR;3310
133;19890101000000;MGR;2670
133;19900101000000;MGR;2800
133;19910101000000;MGR;2300
133;19920101000000;MGR;2880
133;19930101000000;MGR;3060
133;19940101000000;MGR;3520
133;19950101000000;MGR;3800
133;19960101000000;MGR;2140
133;19970101000000;MGR;3160
133;19980101000000;MGR;2710
133;19990101000000;MGR;3880
133;20000101000000;MGR;2950
133;20010101000000;MGR;3450
133;20020101000000;MGR;2600
133;20030101000000;MGR;2900
133;20040101000000;MGR;3080
133;20050101000000;MGR;2510
133;20060101000000;MGR;2375
133;20070101000000;MGR;2874
133;20080101000000;MGR;2914
133;20090101000000;MGR;2162
133;20100101000000;MGR;2428
133;20110101000000;MGR;1867
133;20120101000000;MGR;3226
133;20130101000000;MGR;2685
133;20140101000000;MGR;2311
133;20150101000000;MGR;3381
133;20160101000000;MGR;2766
133;20170101000000;MGR;2418
133;20180101000000;MGR;3268
133;20190101000000;MGR;3208
133;20200101000000;MGR;3206
133;20210101000000;MGR;2686
133;20220101000000;MGR;2542
