station;termin;nat_abbr;rre150z0
536;20230705163000;AIR;0.0
536;20230705164000;AIR;0.0
536;20230705165000;AIR;0.0
536;20230705170000;AIR;0.0
536;20230705171000;AIR;0.0
536;20230705172000;AIR;0.0
536;20230705173000;AIR;0.0
536;20230705174000;AIR;0.0
536;20230705175000;AIR;0.0
536;20230705180000;AIR;0.0
536;20230705181000;AIR;0.0
536;20230705182000;AIR;0.0
536;20230705183000;AIR;0.0
536;20230705184000;AIR;0.0
536;20230705185000;AIR;0.0
536;20230705190000;AIR;0.0
536;20230705191000;AIR;0.0
536;20230705192000;AIR;0.0
536;20230705193000;AIR;0.0
536;20230705194000;AIR;0.0
536;20230705195000;AIR;0.0
536;20230705200000;AIR;0.0
536;20230705201000;AIR;0.0
536;20230705202000;AIR;0.0
536;20230705203000;AIR;0.0
536;20230705204000;AIR;0.0
536;20230705205000;AIR;0.0
536;20230705210000;AIR;0.0
536;20230705211000;AIR;0.0
536;20230705212000;AIR;0.0
536;20230705213000;AIR;0.0
536;20230705214000;AIR;0.0
536;20230705215000;AIR;0.0
536;20230705220000;AIR;0.0
536;20230705221000;AIR;0.0
536;20230705222000;AIR;0.0
536;20230705223000;AIR;0.0
536;20230705224000;AIR;0.0
536;20230705225000;AIR;0.0
536;20230705230000;AIR;0.0
536;20230705231000;AIR;0.0
536;20230705232000;AIR;0.0
536;20230705233000;AIR;0.0
536;20230705234000;AIR;0.0
536;20230705235000;AIR;0.0
536;20230706000000;AIR;0.0
536;20230706001000;AIR;0.0
536;20230706002000;AIR;0.0
536;20230706003000;AIR;0.0
536;20230706004000;AIR;0.0
536;20230706005000;AIR;0.0
536;20230706010000;AIR;0.0
536;20230706011000;AIR;0.0
536;20230706012000;AIR;0.0
536;20230706013000;AIR;0.0
536;20230706014000;AIR;0.0
536;20230706015000;AIR;0.0
536;20230706020000;AIR;0.0
536;20230706021000;AIR;0.0
536;20230706022000;AIR;0.0
536;20230706023000;AIR;0.0
536;20230706024000;AIR;0.0
536;20230706025000;AIR;0.0
536;20230706030000;AIR;0.0
536;20230706031000;AIR;0.0
536;20230706032000;AIR;0.0
536;20230706033000;AIR;0.0
536;20230706034000;AIR;0.0
536;20230706035000;AIR;0.0
536;20230706040000;AIR;0.0
536;20230706041000;AIR;0.0
536;20230706042000;AIR;0.0
536;20230706043000;AIR;0.0
536;20230706044000;AIR;0.0
536;20230706045000;AIR;0.0
536;20230706050000;AIR;0.0
536;20230706051000;AIR;0.0
536;20230706052000;AIR;0.0
536;20230706053000;AIR;0.0
536;20230706054000;AIR;0.0
536;20230706055000;AIR;0.0
536;20230706060000;AIR;0.0
536;20230706061000;AIR;0.0
536;20230706062000;AIR;0.0
536;20230706063000;AIR;0.0
536;20230706064000;AIR;0.0
536;20230706065000;AIR;0.0
536;20230706070000;AIR;0.0
536;20230706071000;AIR;0.0
536;20230706072000;AIR;0.0
536;20230706073000;AIR;0.0
536;20230706074000;AIR;0.0
536;20230706075000;AIR;0.0
536;20230706080000;AIR;0.0
536;20230706081000;AIR;0.0
536;20230706082000;AIR;0.0
536;20230706083000;AIR;0.0
536;20230706084000;AIR;0.0
536;20230706085000;AIR;0.0
536;20230706090000;AIR;0.0
536;20230706091000;AIR;0.0
536;20230706092000;AIR;0.0
536;20230706093000;AIR;0.0
536;20230706094000;AIR;0.0
536;20230706095000;AIR;0.0
536;20230706100000;AIR;0.0
536;20230706101000;AIR;0.0
536;20230706102000;AIR;0.0
536;20230706103000;AIR;0.0
536;20230706104000;AIR;0.0
536;20230706105000;AIR;0.0
536;20230706110000;AIR;0.0
536;20230706111000;AIR;0.0
536;20230706112000;AIR;0.0
536;20230706113000;AIR;0.0
536;20230706114000;AIR;0.0
536;20230706115000;AIR;0.0
536;20230706120000;AIR;0.0
536;20230706121000;AIR;0.0
536;20230706122000;AIR;0.0
536;20230706123000;AIR;0.0
536;20230706124000;AIR;0.0
536;20230706125000;AIR;0.0
536;20230706130000;AIR;0.0
536;20230706131000;AIR;0.0
536;20230706132000;AIR;0.2
536;20230706133000;AIR;0.1
536;20230706134000;AIR;0.0
536;20230706135000;AIR;0.0
536;20230706140000;AIR;0.0
536;20230706141000;AIR;0.0
536;20230706142000;AIR;0.0
536;20230706143000;AIR;0.0
536;20230706144000;AIR;0.0
536;20230706145000;AIR;0.0
536;20230706150000;AIR;0.0
536;20230706151000;AIR;0.0
536;20230706152000;AIR;0.0
536;20230706153000;AIR;0.0
536;20230706154000;AIR;0.0
536;20230706155000;AIR;0.0
536;20230706160000;AIR;0.0
536;20230706161000;AIR;0.0
