station;termin;nat_abbr;rre150y0
536;18840101000000;AIR;858.1
536;18850101000000;AIR;1699.3
536;18860101000000;AIR;2042.7
536;18870101000000;AIR;1232.5
536;18880101000000;AIR;2184.8
536;18890101000000;AIR;1622.6
536;18900101000000;AIR;1652.9
536;18910101000000;AIR;1788.4
536;18920101000000;AIR;1410.0
536;18930101000000;AIR;1027.4
536;18940101000000;AIR;1063.4
536;18950101000000;AIR;1385.7
536;18960101000000;AIR;1954.3
536;18970101000000;AIR;1473.2
536;18980101000000;AIR;1881.3
536;18990101000000;AIR;1139.2
536;19000101000000;AIR;1783.3
536;19010101000000;AIR;1755.8
536;19020101000000;AIR;1575.7
536;19030101000000;AIR;1771.8
536;19040101000000;AIR;1087.9
536;19050101000000;AIR;1561.6
536;19060101000000;AIR;1199.3
536;19070101000000;AIR;1750.0
536;19080101000000;AIR;1350.1
536;19090101000000;AIR;1643.1
536;19100101000000;AIR;1849.2
536;19110101000000;AIR;1597.1
536;19120101000000;AIR;1427.3
536;19130101000000;AIR;1697.8
536;19140101000000;AIR;1950.3
536;19150101000000;AIR;1380.8
536;19160101000000;AIR;2040.2
536;19170101000000;AIR;1863.6
536;19180101000000;AIR;1945.4
536;19190101000000;AIR;1418.5
536;19200101000000;AIR;1663.5
536;19210101000000;AIR;919.3
536;19220101000000;AIR;1839.7
536;19230101000000;AIR;1879.3
536;19240101000000;AIR;1694.4
536;19250101000000;AIR;1826.0
536;19260101000000;AIR;2300.4
536;19270101000000;AIR;2178.0
536;19280101000000;AIR;2062.9
536;19290101000000;AIR;1419.6
536;19300101000000;AIR;1534.1
536;19310101000000;AIR;1651.0
536;19320101000000;AIR;2094.6
536;19330101000000;AIR;1574.1
536;19340101000000;AIR;1601.4
536;19350101000000;AIR;2314.4
536;19360101000000;AIR;1678.9
536;19370101000000;AIR;2021.9
536;19380101000000;AIR;1405.5
536;19390101000000;AIR;2293.3
536;19400101000000;AIR;1726.3
536;19410101000000;AIR;1488.0
536;19420101000000;AIR;1580.4
536;19430101000000;AIR;1220.3
536;19440101000000;AIR;1291.8
536;19450101000000;AIR;1218.8
536;19460101000000;AIR;1755.1
536;19470101000000;AIR;1477.7
536;19480101000000;AIR;1589.2
536;19490101000000;AIR;1138.8
536;19500101000000;AIR;1767.9
536;19510101000000;AIR;2360.2
536;19520101000000;AIR;1607.9
536;19530101000000;AIR;1357.5
536;19540101000000;AIR;1953.0
536;19550101000000;AIR;1282.3
536;19560101000000;AIR;1682.4
536;19570101000000;AIR;1582.6
536;19580101000000;AIR;2089.6
536;19590101000000;AIR;1265.3
536;19600101000000;AIR;2136.9
536;19610101000000;AIR;1326.9
536;19620101000000;AIR;1051.1
536;19630101000000;AIR;1687.7
536;19640101000000;AIR;1153.9
536;19650101000000;AIR;1611.9
536;19660101000000;AIR;1565.1
536;19670101000000;AIR;1433.2
536;19680101000000;AIR;1946.6
536;19690101000000;AIR;1238.4
536;19700101000000;AIR;1542.5
536;19710101000000;AIR;1321.4
536;19720101000000;AIR;1472.7
536;19730101000000;AIR;1338.1
536;19740101000000;AIR;1444.1
536;19750101000000;AIR;1622.0
536;19760101000000;AIR;1731.2
536;19770101000000;AIR;2368.8
536;19780101000000;AIR;1555.4
536;19790101000000;AIR;1882.1
536;19800101000000;AIR;1285.8
536;19940101000000;AIR;1589.2
536;19950101000000;AIR;1418.0
536;19960101000000;AIR;1874.4
536;19970101000000;AIR;1552.9
536;19980101000000;AIR;1590.7
536;19990101000000;AIR;2134.8
536;20000101000000;AIR;2381.7
536;20010101000000;AIR;1620.9
536;20020101000000;AIR;2140.4
536;20030101000000;AIR;1033.8
536;20040101000000;AIR;1324.2
536;20050101000000;AIR;891.7
536;20060101000000;AIR;1220.6
536;20070101000000;AIR;1249.0
536;20080101000000;AIR;1978.2
536;20090101000000;AIR;1433.8
536;20100101000000;AIR;1506.0
536;20110101000000;AIR;1391.6
536;20120101000000;AIR;1676.2
536;20130101000000;AIR;1704.4
536;20140101000000;AIR;2180.0
536;20150101000000;AIR;1643.6
536;20160101000000;AIR;1591.9
536;20170101000000;AIR;1459.5
536;20180101000000;AIR;1987.1
536;20190101000000;AIR;2168.6
536;20200101000000;AIR;1474.9
536;20210101000000;AIR;1707.6
536;20220101000000;AIR;995.2
